PREC_NAME,DISTRICT,POLLING_PLACE,ADDRESS,CITY,ZIP
VALLEY,Springfield,Rolling Valley Elementary School,6703 Barnack Dr,Springfield,22152
GARFIELD,Lee,Garfield Elementary School,7101 Old Keene Mill Rd,Springfield,22150
PARKWAY,Springfield,Burke Community Church,9900 Old Keene Mill Rd,Burke,22015
TERRA CENTRE,Braddock,Terra Centre Elementary School,6000 Burke Centre Pky,Burke,22015
KEENE MILL,Braddock,Keene Mill Elementary School,6310 Bardu Ave,Springfield,22152
IRVING,Springfield,Irving Middle School,8100 Old Keene Mill Rd,Springfield,22152
WHITE OAKS,Springfield,White Oaks Elementary School,6130 Shiplett Blvd,Burke,22015
CRESTWOOD,Lee,Crestwood Elementary School,6010 Hanover Ave,Springfield,22150
CARDINAL,Braddock,Cardinal Forest Elementary School,8600 Forrester Blvd,Springfield,22152
BURKE,Springfield,West Springfield High School,6100 Rolling Rd,Springfield,22152
BURKE CENTRE,Braddock,Commons Community Center,5701 Roberts Pky,Burke,22015
FAIRVIEW,Braddock,Fairview Elementary School,5815 Ox Rd,Fairfax Station,22039
BUSH HILL,Lee,Bush Hill Elementary School,5927 Westchester St,Alexandria,22310
CAMERON,Lee,Cameron Elementary School,3434 Campbell Dr,Alexandria,22303
SIGNAL HILL,Braddock,Lake Braddock Secondary School,9200 Burke Lake Rd,Burke,22015
LAUREL,Braddock,Laurel Ridge Elementary School,10110 Commonwealth Blvd,Fairfax,22032
BREN MAR,Mason,Bren Mar Park Elementary School,6344 Beryl Rd,Alexandria,22312
ROBINSON,Braddock,Robinson Secondary School,5035 Sideburn Rd,Fairfax,22032 
BROOK HILL,Mason,Poe Middle School,7000 Cindy Ln,Annandale,22003
